,Winner,T1_Twitter_Vol,T2_Twitter_Vol,T1_Fans_Sent,T2_Fans_Sent,T1_Fans_Pred,T2_Fans_Pred
0,0,0.7032828282828283,0.2967171717171717,0.5681818181818182,0.27146464646464646,0.8333333333333334,0.16666666666666666
1,1,0.6572444003636664,0.34275559963633356,0.5775683940821555,0.31002562195222744,0.6858789625360231,0.31412103746397696
2,1,0.8258221680876979,0.17417783191230207,0.5651644336175395,0.14981729598051158,1.0,0.0
3,1,0.5950413223140496,0.4049586776859504,0.4834710743801653,0.3305785123966942,0.0,0.0
4,1,0.6859122401847575,0.3140877598152425,0.6443418013856813,0.2540415704387991,0.0,1.0
5,0,0.9335387323943662,0.0664612676056338,0.8356073943661971,0.04995598591549296,0.9850746268656716,0.014925373134328358
6,1,0.8101123595505618,0.1898876404494382,0.6033707865168539,0.15730337078651685,1.0,0.0
7,1,0.9246738930736726,0.0753261069263274,0.8326290648539408,0.06632371853757119,0.8888888888888888,0.1111111111111111
8,1,0.7395128552097429,0.2604871447902571,0.5493910690121786,0.1955345060893099,0.896551724137931,0.10344827586206896
9,1,0.8685509196949305,0.13144908030506955,0.6348138178555406,0.10722296994167788,0.9487179487179487,0.05128205128205128
10,1,0.8930366116295765,0.10696338837042355,0.7128499641062455,0.09045226130653267,0.75,0.25
11,1,0.7286496118111239,0.27135038818887613,0.6499936362479318,0.2467863052055492,0.8609625668449198,0.13903743315508021
12,0,0.796250616674889,0.203749383325111,0.7680480184180234,0.10911034369347147,0.9087837837837838,0.09121621621621621
13,0,0.455609989246027,0.544390010753973,0.3587047436969769,0.4085314852431593,0.44086021505376344,0.5591397849462365
