,Winner,T1_TwitterVol,T2_TwitterVol,T1_FansSent,T2_FansSent,T1_FansPred,T2_FansPred
323,0,0.811460259,0.188539741,0.76155268,0.144177449,0.666666667,0.333333333
324,0,0.48960739,0.51039261,0.41108545,0.464203233,0,1
325,0,0.393728223,0.606271777,0.341463415,0.468641115,0,0
326,1,0.820840951,0.179159049,0.771480804,0.126142596,0.833333333,0.166666667
327,1,0.501199041,0.498800959,0.460431655,0.45323741,0.5,0.5
328,0,0.384751773,0.615248227,0.343971631,0.519503546,0.5,0.5
329,1,0.817204301,0.182795699,0.761648746,0.114695341,0.8,0.2
330,1,0.861744966,0.138255034,0.804026846,0.099328859,1,0
331,0,0.877957659,0.122042341,0.844333748,0.077210461,0.857142857,0.142857143
332,1,0.889602054,0.110397946,0.854942234,0.065468549,1,0
333,1,0.807825086,0.192174914,0.762945915,0.15995397,0.818181818,0.181818182
334,1,0.840042373,0.159957627,0.81779661,0.104872881,0.909090909,0.090909091
335,1,0.804878049,0.195121951,0.745827985,0.129653402,0.857142857,0.142857143
336,1,0.787844037,0.212155963,0.674311927,0.190366972,0.8,0.2
337,1,0.797727273,0.202272727,0.7125,0.139772727,0.857142857,0.142857143
338,1,0.763493621,0.236506379,0.729146222,0.178606477,0.823529412,0.176470588
339,1,0.791359326,0.208640674,0.735511064,0.144362487,0.923076923,0.076923077
340,1,0.295503212,0.704496788,0.244111349,0.535331906,0,1
341,0,0.380952381,0.619047619,0.285714286,0.486772487,0.5,0.5
342,0,0.395631068,0.604368932,0.247572816,0.512135922,0,1
343,0,0.49132948,0.50867052,0.413294798,0.410404624,1,0
344,1,0.505882353,0.494117647,0.447058824,0.402941176,1,0
345,0,0.495327103,0.504672897,0.408099688,0.417445483,1,0
346,0,0.81042654,0.18957346,0.644549763,0.180094787,0,0
347,0,0.633962264,0.366037736,0.464150943,0.324528302,0,1
348,0,0.301675978,0.698324022,0.251396648,0.474860335,0,0
349,1,0.384146341,0.615853659,0.298780488,0.5,0,0
350,0,0.557093426,0.442906574,0.425605536,0.356401384,0.333333333,0.666666667
351,0,0.487972509,0.512027491,0.381443299,0.439862543,0.5,0.5
352,1,0.494584838,0.505415162,0.415162455,0.40433213,0.666666667,0.333333333
353,1,0.535087719,0.464912281,0.421052632,0.236842105,0,0
354,0,0.494382022,0.505617978,0.348314607,0.359550562,0,1
355,1,0.605769231,0.394230769,0.394230769,0.211538462,1,0
356,0,0.341772152,0.658227848,0.278481013,0.518987342,0,1
357,0,0.338983051,0.661016949,0.254237288,0.610169492,0,0
358,1,0.742130751,0.257869249,0.692493947,0.219128329,0.666666667,0.333333333
359,1,0.729828851,0.270171149,0.69804401,0.215158924,0.833333333,0.166666667
