,ID,Venue,T1_Mat,T1_AvgRunsScored,T1_AvgRunsConceded,T1_AvgWktsTaken,T1_AvgWktsLost,T1_AvgBound,T1_W/L,T2_Mat,T2_AvgRunsScored,T2_AvgRunsConceded,T2_AvgWktsTaken,T2_AvgWktsLost,T2_AvgBound,T2_W/L,Winner
213,214,America,92,7,7.22,0.31,0.34,0.83,1.139,70,7.39,7.87,0.29,0.33,0.95,1,1
214,215,America,93,6.99,7.2,0.31,0.34,0.83,1.162,71,7.35,7.85,0.29,0.33,0.95,0.972,1
215,216,America,94,6.99,7.19,0.31,0.34,0.83,1.186,72,7.33,7.83,0.29,0.33,0.94,0.945,0
216,217,America,95,6.98,7.2,0.31,0.34,0.83,1.159,73,7.35,7.81,0.29,0.33,0.95,0.972,1
217,218,Asia,83,7.1,7.61,0.29,0.34,0.87,1.024,41,6.61,8.06,0.26,0.39,0.81,0.171,1
218,219,Asia,84,7.11,7.61,0.29,0.34,0.87,1.048,42,6.62,8.06,0.26,0.39,0.8,0.166,0
219,220,Europe,89,7.55,7.56,0.33,0.3,0.92,1.342,84,7.68,7.95,0.3,0.33,0.95,1.048,0
220,221,Europe,90,7.55,7.58,0.33,0.3,0.92,1.307,85,7.7,7.94,0.3,0.32,0.96,1.073,1
221,222,Europe,91,7.56,7.58,0.33,0.3,0.92,1.333,86,7.7,7.95,0.3,0.32,0.96,1.047,0
222,223,America,69,7.6,7.64,0.3,0.28,0.93,1.464,77,7.32,7.74,0.29,0.33,0.94,1.026,0
223,224,Asia,70,7.62,7.67,0.3,0.28,0.93,1.413,85,7.11,7.62,0.29,0.34,0.87,1.023,1
224,225,Europe,87,7.71,7.95,0.3,0.32,0.96,1.071,78,7.35,7.76,0.29,0.32,0.95,1.052,0
225,226,Asia,71,7.63,7.68,0.3,0.28,0.93,1.448,88,8,7.68,0.32,0.33,0.98,1.095,1
226,227,Asia,72,7.63,7.66,0.3,0.28,0.93,1.482,89,7.98,7.69,0.32,0.33,0.98,1.069,0
227,228,Asia,96,6.97,7.19,0.31,0.34,0.83,1.181,86,7.12,7.64,0.29,0.34,0.87,1,1
228,229,Africa,92,7.55,7.6,0.33,0.3,0.92,1.3,43,6.66,8.04,0.26,0.39,0.81,0.194,1
229,230,Asia,97,6.96,7.17,0.31,0.34,0.82,1.204,87,7.1,7.62,0.29,0.35,0.87,0.977,1
230,231,Africa,93,7.57,7.61,0.33,0.3,0.92,1.325,44,6.7,8.08,0.26,0.39,0.81,0.189,1
231,232,Asia,98,6.95,7.16,0.31,0.34,0.82,1.227,88,7.09,7.6,0.29,0.35,0.86,0.955,1
232,233,Asia,73,7.6,7.67,0.3,0.29,0.93,1.433,80,7.31,7.74,0.31,0.36,0.89,0.951,1
233,234,Asia,74,7.63,7.66,0.3,0.28,0.93,1.466,81,7.31,7.76,0.31,0.36,0.89,0.928,0
234,235,Asia,75,7.63,7.69,0.3,0.28,0.93,1.419,82,7.33,7.76,0.31,0.36,0.9,0.952,1
235,236,Asia,76,7.63,7.69,0.3,0.29,0.93,1.451,89,7.09,7.62,0.29,0.35,0.86,0.934,1
236,237,Asia,77,7.64,7.66,0.3,0.28,0.94,1.483,90,7.07,7.63,0.29,0.35,0.86,0.914,1
237,238,Asia,78,7.71,7.69,0.31,0.28,0.95,1.516,91,7.09,7.69,0.29,0.35,0.86,0.895,1
238,239,Oceania,79,7.36,7.76,0.29,0.33,0.95,1.078,83,7.33,7.77,0.31,0.36,0.9,0.93,0
239,240,Oceania,80,7.36,7.78,0.29,0.33,0.95,1.051,84,7.35,7.76,0.32,0.36,0.9,0.953,0
240,241,Oceania,99,6.96,7.16,0.31,0.34,0.82,1.25,85,7.4,7.76,0.32,0.36,0.91,0.976,0
241,242,Oceania,100,6.95,7.16,0.31,0.34,0.82,1.222,86,7.39,7.73,0.32,0.35,0.9,1,1
242,243,Oceania,101,6.97,7.16,0.31,0.34,0.82,1.244,87,7.39,7.75,0.32,0.36,0.9,0.977,1
243,244,Oceania,90,7.98,7.66,0.32,0.33,0.98,1.093,88,7.4,7.77,0.32,0.36,0.9,0.955,1
244,245,Oceania,91,7.98,7.64,0.32,0.33,0.98,1.116,88,7.7,7.96,0.3,0.33,0.96,1.046,1
245,246,Oceania,92,7.99,7.64,0.32,0.33,0.98,1.139,89,7.7,7.96,0.3,0.33,0.96,1.022,1
246,247,Oceania,90,7.69,7.97,0.3,0.33,0.96,1,89,7.37,7.77,0.32,0.36,0.9,0.934,0
247,248,Asia,92,7.09,7.68,0.29,0.35,0.86,0.877,45,6.7,8.15,0.26,0.4,0.82,0.184,1
248,249,Oceania,93,7.99,7.63,0.32,0.33,0.98,1.162,90,7.39,7.79,0.32,0.36,0.9,0.956,1
249,250,Oceania,91,7.7,7.99,0.3,0.33,0.96,0.978,91,7.44,7.84,0.32,0.36,0.91,0.936,1
250,251,Asia,93,7.12,7.7,0.29,0.35,0.87,0.897,46,6.75,8.22,0.26,0.39,0.82,0.179,1
251,252,Africa,79,7.7,7.67,0.31,0.28,0.95,1.548,94,7.61,7.61,0.33,0.3,0.93,1.35,1
252,253,Oceania,94,8.04,7.68,0.32,0.33,0.99,1.186,92,7.45,7.87,0.32,0.35,0.91,0.916,1
253,254,Africa,80,7.72,7.69,0.31,0.28,0.95,1.58,95,7.62,7.64,0.33,0.3,0.93,1.317,0
254,255,Africa,81,7.74,7.71,0.31,0.28,0.96,1.531,96,7.64,7.65,0.33,0.3,0.93,1.341,1
255,256,Asia,82,7.75,7.72,0.31,0.28,0.96,1.562,94,7.15,7.7,0.29,0.35,0.88,0.918,0
256,257,Asia,83,7.75,7.74,0.31,0.28,0.96,1.515,47,6.75,8.27,0.26,0.4,0.82,0.175,1
257,258,Asia,95,7.17,7.71,0.29,0.35,0.88,0.938,48,6.73,8.25,0.26,0.4,0.82,0.17,0
258,259,Asia,84,7.75,7.73,0.31,0.28,0.96,1.545,96,7.2,7.74,0.29,0.35,0.88,0.92,1
259,260,Asia,85,7.76,7.73,0.31,0.28,0.96,1.575,49,6.81,8.3,0.26,0.39,0.83,0.195,1
260,261,Asia,97,7.2,7.75,0.29,0.35,0.88,0.901,50,6.82,8.31,0.25,0.39,0.84,0.19,0
261,262,Asia,86,7.77,7.73,0.31,0.28,0.96,1.606,51,6.84,8.29,0.25,0.39,0.83,0.214,1
262,263,Asia,102,6.99,7.17,0.31,0.34,0.82,1.266,81,7.36,7.83,0.29,0.33,0.95,1.025,1
263,264,Asia,103,7.02,7.15,0.32,0.34,0.83,1.288,82,7.33,7.86,0.29,0.33,0.95,1,1
264,265,Asia,104,7.04,7.14,0.32,0.34,0.83,1.311,83,7.31,7.89,0.29,0.34,0.95,0.976,1
265,266,Europe,95,8.03,7.67,0.32,0.33,0.99,1.209,92,7.72,8.01,0.3,0.33,0.96,1,0
266,267,Africa,105,7.06,7.15,0.32,0.33,0.84,1.333,96,8.05,7.71,0.32,0.33,0.99,1.181,0
267,268,Europe,87,7.77,7.74,0.31,0.28,0.96,1.636,93,7.75,8.03,0.3,0.33,0.97,1.021,1
268,269,Africa,106,7.04,7.16,0.32,0.34,0.84,1.304,97,8.06,7.69,0.32,0.33,1,1.204,1
269,270,Europe,88,7.78,7.74,0.31,0.28,0.96,1.666,94,7.75,8.03,0.3,0.33,0.97,1,0
270,271,Africa,107,7.07,7.16,0.32,0.34,0.84,1.326,98,8.05,7.71,0.32,0.33,0.99,1.177,1
271,272,Europe,89,7.77,7.73,0.31,0.28,0.96,1.617,95,7.75,8.02,0.3,0.33,0.97,1.021,1
272,273,America,84,7.31,7.9,0.29,0.34,0.95,0.953,55,6.84,8.24,0.26,0.39,0.83,0.195,1
273,274,America,85,7.32,7.89,0.29,0.34,0.95,0.976,56,6.84,8.26,0.26,0.39,0.83,0.191,0
274,275,America,86,7.33,7.89,0.29,0.34,0.95,0.954,57,6.86,8.25,0.26,0.39,0.84,0.212,0
275,276,Asia,97,7.65,7.66,0.33,0.3,0.93,1.309,98,7.2,7.75,0.29,0.35,0.88,0.884,0
276,277,Asia,108,7.09,7.18,0.32,0.34,0.85,1.347,99,8.05,7.73,0.32,0.33,0.99,1.152,1
277,278,Asia,109,7.09,7.16,0.32,0.34,0.84,1.369,100,8.03,7.73,0.32,0.33,0.99,1.127,1
278,279,Asia,96,7.77,8.05,0.3,0.33,0.98,1,99,7.19,7.73,0.29,0.35,0.88,0.903,1
279,280,Asia,110,7.09,7.15,0.32,0.34,0.84,1.391,101,8,7.72,0.32,0.33,0.99,1.104,1
280,281,Asia,111,7.09,7.14,0.32,0.33,0.84,1.413,93,7.45,7.87,0.32,0.35,0.91,0.897,1
281,282,Asia,112,7.09,7.14,0.32,0.33,0.84,1.434,94,7.45,7.86,0.32,0.35,0.91,0.88,1
282,283,Asia,90,7.8,7.76,0.31,0.28,0.97,1.647,87,7.32,7.91,0.29,0.34,0.95,0.933,1
283,284,Asia,113,7.09,7.15,0.32,0.33,0.84,1.456,95,7.44,7.86,0.31,0.35,0.91,0.862,1
284,285,Asia,91,7.78,7.73,0.31,0.28,0.96,1.676,88,7.3,7.88,0.29,0.34,0.95,0.913,1
285,286,Asia,92,7.79,7.71,0.31,0.27,0.96,1.705,89,7.28,7.9,0.29,0.34,0.94,0.893,1
286,287,Oceania,98,7.63,7.65,0.33,0.3,0.93,1.279,102,7.98,7.72,0.32,0.33,0.98,1.081,1
287,288,Oceania,93,7.8,7.72,0.31,0.27,0.97,1.735,103,7.98,7.73,0.32,0.33,0.98,1.06,0
288,289,Oceania,94,7.81,7.74,0.31,0.27,0.97,1.685,104,7.99,7.75,0.32,0.33,0.98,1.08,1
289,290,Asia,90,7.28,7.92,0.29,0.34,0.95,0.875,58,6.89,8.24,0.26,0.39,0.85,0.234,1
290,291,Asia,91,7.31,7.9,0.29,0.34,0.95,0.895,59,6.88,8.27,0.26,0.39,0.85,0.229,0
291,292,Asia,92,7.32,7.93,0.29,0.34,0.95,0.877,60,6.93,8.28,0.27,0.39,0.86,0.25,1
292,293,Oceania,100,7.19,7.75,0.29,0.35,0.88,0.886,96,7.44,7.86,0.31,0.36,0.91,0.846,0
293,294,Africa,114,7.1,7.14,0.32,0.33,0.84,1.478,99,7.64,7.65,0.33,0.3,0.93,1.302,0
294,295,Africa,115,7.12,7.17,0.32,0.33,0.85,1.446,100,7.65,7.67,0.33,0.3,0.94,1.325,0
295,296,Oceania,95,7.82,7.74,0.31,0.27,0.97,1.714,97,7.45,7.87,0.32,0.36,0.91,0.865,0
296,297,Africa,116,7.13,7.18,0.32,0.33,0.85,1.416,101,7.66,7.69,0.33,0.3,0.94,1.348,1
297,298,Oceania,96,7.81,7.77,0.31,0.28,0.97,1.666,98,7.48,7.86,0.32,0.36,0.91,0.884,1
298,299,Oceania,97,7.81,7.77,0.31,0.28,0.97,1.694,99,7.48,7.87,0.32,0.36,0.91,0.867,0
299,300,Asia,98,7.83,7.8,0.31,0.28,0.97,1.648,105,7.98,7.76,0.32,0.33,0.98,1.058,0
300,301,Asia,99,7.81,7.79,0.31,0.28,0.97,1.605,106,7.97,7.74,0.32,0.33,0.98,1.078,0
301,302,America,97,7.78,8.04,0.3,0.33,0.98,1.02,93,7.35,7.93,0.29,0.34,0.96,0.897,1
302,303,America,98,7.78,8.04,0.3,0.33,0.98,1.041,94,7.35,7.93,0.29,0.34,0.96,0.88,1
303,304,America,99,7.79,8.02,0.31,0.33,0.98,1.062,95,7.32,7.94,0.29,0.34,0.95,0.862,1
304,305,Africa,102,7.66,7.69,0.33,0.3,0.94,1.318,101,7.2,7.76,0.29,0.35,0.88,0.87,1
305,306,Africa,103,7.67,7.7,0.34,0.3,0.94,1.34,102,7.21,7.77,0.29,0.36,0.89,0.854,1
306,307,Europe,117,7.14,7.18,0.32,0.33,0.85,1.437,100,7.78,8,0.31,0.33,0.98,1.083,0
307,308,America,100,7.82,7.81,0.3,0.28,0.97,1.564,96,7.31,7.93,0.29,0.35,0.95,0.846,1
308,309,America,101,7.8,7.78,0.31,0.28,0.97,1.589,97,7.28,7.91,0.29,0.35,0.95,0.83,1
309,310,America,102,7.8,7.76,0.31,0.28,0.97,1.615,98,7.26,7.92,0.29,0.35,0.94,0.814,1
310,311,Asia,100,7.51,7.89,0.32,0.35,0.92,0.886,103,7.21,7.79,0.29,0.36,0.89,0.839,1
311,312,Asia,101,7.51,7.9,0.31,0.35,0.91,0.905,104,7.22,7.8,0.29,0.36,0.89,0.824,1
312,313,Asia,102,7.52,7.9,0.32,0.35,0.91,0.924,105,7.22,7.8,0.29,0.36,0.89,0.81,0
313,314,Asia,103,7.8,7.76,0.31,0.27,0.96,1.641,104,7.69,7.7,0.34,0.3,0.94,1.363,1
314,315,Asia,104,7.8,7.75,0.31,0.27,0.96,1.666,105,7.68,7.7,0.34,0.3,0.94,1.333,0
315,316,Asia,118,7.15,7.2,0.32,0.33,0.85,1.408,106,7.21,7.79,0.29,0.36,0.88,0.827,0
316,317,Asia,119,7.14,7.2,0.32,0.34,0.85,1.38,107,7.21,7.76,0.29,0.36,0.88,0.844,0
317,318,Asia,120,7.14,7.22,0.31,0.34,0.85,1.352,108,7.22,7.76,0.29,0.36,0.88,0.862,0
318,319,Oceania,107,7.98,7.76,0.32,0.33,0.98,1.098,109,7.22,7.75,0.29,0.36,0.88,0.879,1
319,320,Oceania,108,8.01,7.73,0.32,0.33,0.99,1.117,110,7.19,7.79,0.29,0.36,0.88,0.864,1
320,321,Oceania,101,7.79,8,0.31,0.33,0.98,1.104,103,7.5,7.88,0.32,0.35,0.91,0.907,1
321,322,Oceania,109,8.02,7.71,0.32,0.33,0.99,1.137,111,7.18,7.8,0.29,0.36,0.88,0.85,1
322,323,Oceania,102,7.8,8,0.31,0.33,0.99,1.125,104,7.5,7.88,0.31,0.35,0.91,0.89,0
323,324,Asia,105,7.78,7.76,0.3,0.28,0.96,1.625,63,6.93,8.27,0.27,0.39,0.85,0.26,0
324,325,Oceania,103,7.8,8,0.31,0.33,0.99,1.102,105,7.51,7.88,0.32,0.35,0.91,0.909,0
325,326,Oceania,121,7.13,7.22,0.31,0.34,0.85,1.326,110,8.01,7.7,0.32,0.33,0.99,1.156,0
326,327,Asia,106,7.77,7.76,0.3,0.28,0.96,1.585,64,6.94,8.25,0.27,0.39,0.85,0.28,1
327,328,Oceania,104,7.8,8.01,0.31,0.33,0.99,1.08,106,7.52,7.88,0.32,0.35,0.91,0.927,1
328,329,Oceania,122,7.13,7.23,0.31,0.34,0.85,1.301,111,8.01,7.7,0.32,0.32,0.99,1.176,0
329,330,Asia,107,7.79,7.75,0.3,0.27,0.96,1.609,65,6.94,8.27,0.27,0.39,0.85,0.274,1
330,331,Asia,108,7.8,7.75,0.3,0.27,0.96,1.634,102,7.23,7.89,0.29,0.35,0.93,0.789,1
331,332,Asia,109,7.81,7.77,0.3,0.27,0.97,1.658,103,7.26,7.92,0.29,0.35,0.94,0.775,0
332,333,Asia,110,7.81,7.79,0.3,0.27,0.97,1.619,104,7.27,7.92,0.29,0.34,0.94,0.793,1
333,334,Asia,111,7.85,7.79,0.3,0.27,0.97,1.642,112,7.18,7.8,0.29,0.36,0.87,0.836,1
334,335,Asia,112,7.85,7.79,0.3,0.27,0.97,1.666,113,7.17,7.8,0.29,0.36,0.87,0.822,1
335,336,Oceania,113,7.87,7.78,0.3,0.27,0.97,1.69,107,7.53,7.92,0.31,0.36,0.91,0.91,1
336,337,Asia,123,7.12,7.24,0.31,0.34,0.85,1.277,66,6.95,8.28,0.27,0.39,0.85,0.269,1
337,338,Asia,124,7.12,7.23,0.31,0.34,0.85,1.296,67,6.94,8.26,0.27,0.39,0.85,0.264,1
338,339,Oceania,114,7.88,7.81,0.3,0.27,0.98,1.714,108,7.55,7.95,0.31,0.36,0.92,0.894,1
339,340,Oceania,115,7.88,7.79,0.3,0.27,0.97,1.738,109,7.54,7.95,0.31,0.35,0.91,0.879,1
340,341,Africa,106,7.68,7.69,0.34,0.29,0.94,1.355,105,7.84,8.02,0.31,0.33,0.99,1.1,1
341,342,Africa,107,7.69,7.7,0.34,0.3,0.94,1.377,106,7.84,8.03,0.31,0.33,1,1.078,0
342,343,Africa,108,7.71,7.72,0.34,0.3,0.95,1.347,107,7.86,8.05,0.31,0.33,1,1.098,0
343,344,Africa,109,7.74,7.76,0.34,0.3,0.95,1.319,112,8.01,7.68,0.32,0.32,0.99,1.196,0
344,345,Africa,110,7.72,7.78,0.34,0.3,0.95,1.291,113,8.03,7.67,0.32,0.32,0.99,1.215,1
345,346,Africa,111,7.72,7.77,0.34,0.3,0.95,1.312,114,8.01,7.67,0.32,0.32,0.99,1.192,0
346,347,Asia,114,7.18,7.82,0.29,0.36,0.87,0.809,105,7.28,7.96,0.29,0.34,0.94,0.779,0
347,348,Asia,115,7.18,7.84,0.29,0.36,0.87,0.796,106,7.3,7.96,0.29,0.34,0.95,0.796,0
348,349,Europe,125,7.12,7.23,0.31,0.33,0.85,1.314,108,7.9,8.08,0.31,0.33,1.01,1.117,0
349,350,Europe,126,7.14,7.25,0.31,0.33,0.85,1.29,109,7.92,8.09,0.31,0.33,1.01,1.137,1
350,351,Europe,115,8.02,7.66,0.33,0.32,0.99,1.211,110,7.93,8.1,0.31,0.33,1.01,1.115,0
351,352,Europe,116,8.02,7.66,0.33,0.32,0.99,1.188,111,7.92,8.1,0.31,0.33,1.01,1.134,0
352,353,Europe,117,8.01,7.66,0.32,0.32,0.99,1.166,112,7.92,8.1,0.31,0.33,1.01,1.153,1
353,354,Oceania,110,7.54,7.95,0.31,0.36,0.92,0.864,107,7.32,7.96,0.29,0.34,0.95,0.813,1
354,355,Africa,112,7.71,7.79,0.33,0.3,0.94,1.285,113,7.91,8.09,0.31,0.33,1.01,1.132,0
355,356,Oceania,111,7.56,7.97,0.31,0.35,0.92,0.881,108,7.33,7.99,0.29,0.34,0.95,0.8,1
356,357,Africa,113,7.71,7.8,0.33,0.3,0.94,1.26,114,7.92,8.1,0.31,0.33,1.01,1.15,0
357,358,Africa,114,7.71,7.8,0.33,0.3,0.94,1.235,115,7.91,8.09,0.31,0.33,1.01,1.169,0
358,359,Oceania,116,7.88,7.79,0.3,0.27,0.97,1.761,118,8.01,7.66,0.32,0.32,0.98,1.185,1
359,360,Oceania,117,7.88,7.79,0.31,0.27,0.97,1.785,119,8,7.66,0.32,0.32,0.98,1.163,1
360,361,Oceania,118,7.89,7.81,0.3,0.27,0.97,1.809,120,8.01,7.68,0.32,0.32,0.98,1.142,0
361,362,Oceania,127,7.15,7.27,0.31,0.33,0.85,1.309,112,7.59,7.97,0.31,0.35,0.93,0.898,0
362,363,Oceania,128,7.15,7.27,0.31,0.33,0.85,1.285,113,7.6,7.97,0.31,0.35,0.93,0.915,0
363,364,Oceania,129,7.16,7.28,0.31,0.33,0.85,1.263,114,7.6,7.97,0.31,0.35,0.93,0.932,1
364,365,Asia,130,7.17,7.29,0.31,0.33,0.86,1.28,115,7.72,7.82,0.33,0.3,0.94,1.211,1
365,366,Asia,131,7.18,7.3,0.31,0.33,0.86,1.298,116,7.73,7.83,0.33,0.3,0.95,1.188,0
366,367,Asia,132,7.18,7.31,0.31,0.33,0.86,1.275,117,7.73,7.82,0.33,0.3,0.95,1.207,1
367,368,Oceania,121,8.02,7.69,0.32,0.32,0.98,1.16,115,7.61,7.98,0.31,0.35,0.93,0.916,0
368,369,Oceania,122,8.01,7.7,0.32,0.32,0.98,1.14,116,7.62,7.97,0.32,0.35,0.93,0.933,0
369,370,Oceania,123,8.03,7.73,0.32,0.32,0.99,1.12,117,7.65,8,0.32,0.35,0.94,0.95,1
370,371,America,109,7.34,8.02,0.29,0.34,0.95,0.786,116,7.18,7.85,0.29,0.36,0.87,0.784,1
371,372,Oceania,124,8.04,7.73,0.32,0.32,0.99,1.137,118,7.65,8.02,0.32,0.35,0.94,0.934,1
372,373,America,110,7.35,8.01,0.29,0.34,0.95,0.803,117,7.17,7.86,0.29,0.36,0.87,0.772,0
373,374,Oceania,125,8.04,7.71,0.33,0.32,0.99,1.155,119,7.63,8.02,0.32,0.35,0.94,0.919,0
374,375,America,111,7.34,8.01,0.29,0.35,0.95,0.79,118,7.17,7.85,0.29,0.36,0.87,0.787,1
375,376,Asia,119,7.9,7.82,0.3,0.27,0.97,1.767,116,7.93,8.11,0.3,0.32,1.02,1.188,0
376,377,Asia,120,7.88,7.82,0.3,0.27,0.97,1.727,117,7.93,8.09,0.3,0.32,1.02,1.207,1
377,378,Asia,121,7.89,7.82,0.3,0.27,0.97,1.75,118,7.93,8.1,0.3,0.32,1.01,1.185,0
378,379,Asia,122,7.88,7.82,0.3,0.27,0.97,1.711,119,7.93,8.09,0.3,0.32,1.01,1.203,1
379,380,Asia,123,7.89,7.83,0.3,0.27,0.98,1.733,120,7.94,8.1,0.3,0.32,1.02,1.181,1
380,381,Oceania,120,7.64,8.01,0.32,0.35,0.94,0.935,68,6.93,8.26,0.27,0.38,0.85,0.259,1
381,382,Oceania,121,7.67,8,0.32,0.35,0.94,0.951,69,6.93,8.29,0.26,0.38,0.85,0.254,1
382,383,Oceania,122,7.68,8.01,0.32,0.35,0.95,0.967,70,6.95,8.31,0.26,0.38,0.86,0.25,1
383,384,Africa,133,7.19,7.32,0.31,0.33,0.86,1.293,118,7.73,7.83,0.33,0.3,0.95,1.185,1
384,385,Africa,134,7.2,7.33,0.31,0.33,0.87,1.31,119,7.75,7.84,0.33,0.3,0.95,1.163,0
385,386,Africa,135,7.2,7.35,0.31,0.33,0.86,1.288,120,7.76,7.83,0.33,0.3,0.96,1.181,1
386,387,Africa,136,7.23,7.37,0.31,0.33,0.87,1.305,121,7.78,7.86,0.33,0.3,0.96,1.16,1
387,388,Europe,121,7.94,8.13,0.3,0.32,1.02,1.16,119,7.17,7.84,0.29,0.36,0.87,0.776,1
388,389,Europe,122,7.94,8.11,0.3,0.32,1.02,1.178,120,7.16,7.84,0.29,0.36,0.86,0.764,1
389,390,Europe,123,7.92,8.09,0.3,0.32,1.01,1.196,121,7.14,7.83,0.29,0.36,0.86,0.753,1
390,391,Africa,122,7.77,7.86,0.33,0.3,0.96,1.14,112,7.33,7.99,0.29,0.35,0.95,0.806,0
391,392,Africa,123,7.77,7.88,0.33,0.3,0.96,1.12,113,7.35,7.99,0.29,0.34,0.96,0.822,1
392,393,Africa,124,7.77,7.87,0.33,0.3,0.96,1.137,114,7.35,7.99,0.29,0.34,0.95,0.809,1
393,394,Africa,125,7.76,7.87,0.33,0.3,0.95,1.155,115,7.35,7.99,0.29,0.34,0.95,0.796,0
394,395,Africa,126,7.75,7.88,0.33,0.3,0.95,1.135,116,7.36,7.98,0.29,0.34,0.96,0.812,1
395,396,America,126,8.03,7.72,0.33,0.32,0.99,1.135,117,7.35,7.98,0.29,0.35,0.95,0.8,0
396,397,America,127,8.02,7.72,0.32,0.32,0.99,1.116,118,7.34,7.98,0.29,0.35,0.95,0.815,0
397,398,America,128,8.01,7.73,0.32,0.33,0.98,1.098,119,7.36,7.97,0.29,0.34,0.95,0.83,0
398,399,America,129,8,7.74,0.32,0.33,0.98,1.08,120,7.37,7.96,0.29,0.34,0.96,0.846,1
399,400,Europe,137,7.22,7.37,0.31,0.33,0.87,1.322,124,7.93,8.06,0.3,0.32,1.01,1.214,1
400,401,America,130,8,7.76,0.32,0.33,0.98,1.096,121,7.38,7.97,0.29,0.34,0.96,0.833,0
401,402,Europe,138,7.25,7.39,0.31,0.33,0.87,1.338,125,7.94,8.09,0.3,0.32,1.02,1.192,0
402,403,Europe,139,7.25,7.41,0.31,0.33,0.87,1.316,126,7.96,8.08,0.31,0.32,1.02,1.21,0
403,404,Asia,124,7.92,7.84,0.3,0.27,0.98,1.755,122,7.11,7.83,0.29,0.36,0.85,0.742,1
404,405,Asia,125,7.92,7.83,0.3,0.27,0.98,1.777,123,7.11,7.84,0.29,0.36,0.85,0.732,0
405,406,Asia,126,7.9,7.82,0.3,0.27,0.97,1.739,124,7.1,7.83,0.29,0.36,0.85,0.746,0
406,407,America,140,7.25,7.41,0.31,0.33,0.87,1.295,122,7.4,7.98,0.29,0.34,0.96,0.848,1
407,408,Asia,131,8.01,7.77,0.32,0.33,0.98,1.079,71,6.95,8.35,0.27,0.39,0.86,0.245,0
408,409,Asia,132,7.98,7.76,0.32,0.33,0.98,1.062,72,6.94,8.31,0.27,0.39,0.85,0.263,0
409,410,Asia,133,7.97,7.75,0.32,0.33,0.98,1.046,73,6.93,8.28,0.27,0.39,0.85,0.28,0
410,411,Asia,134,7.95,7.74,0.32,0.33,0.97,1.03,74,6.92,8.24,0.27,0.39,0.85,0.298,1
411,412,Asia,135,7.93,7.72,0.32,0.33,0.97,1.045,75,6.89,8.2,0.27,0.39,0.84,0.293,0
412,413,Asia,123,7.71,8.01,0.32,0.35,0.95,0.983,76,6.87,8.17,0.27,0.39,0.83,0.31,0
413,414,Asia,124,7.67,7.98,0.32,0.35,0.95,0.968,77,6.84,8.11,0.28,0.39,0.83,0.327,0
414,415,Asia,125,7.66,7.97,0.32,0.35,0.94,0.953,78,6.84,8.09,0.28,0.39,0.83,0.344,1
415,416,Asia,126,7.65,7.94,0.32,0.35,0.94,0.968,79,6.8,8.07,0.28,0.39,0.82,0.338,0
416,417,Asia,127,7.63,7.91,0.32,0.35,0.94,0.953,80,6.77,8.02,0.28,0.39,0.82,0.355,1
417,418,Asia,127,7.75,7.87,0.33,0.3,0.95,1.152,125,7.09,7.79,0.29,0.36,0.85,0.76,1
418,419,Asia,128,7.76,7.86,0.33,0.3,0.95,1.169,126,7.08,7.8,0.29,0.36,0.85,0.75,1
419,420,Asia,129,7.75,7.84,0.33,0.3,0.95,1.186,127,7.07,7.79,0.29,0.36,0.84,0.739,1
420,421,Asia,130,7.75,7.83,0.33,0.3,0.95,1.203,136,7.91,7.71,0.32,0.33,0.97,1.029,0
421,422,Asia,127,7.95,8.08,0.3,0.32,1.02,1.228,123,7.39,7.98,0.29,0.34,0.96,0.835,1
422,423,Asia,128,7.06,7.8,0.28,0.36,0.84,0.729,81,6.77,8.02,0.28,0.39,0.81,0.35,1
423,424,Asia,127,7.87,7.81,0.3,0.27,0.97,1.702,141,7.25,7.41,0.31,0.33,0.87,1.311,0
424,425,Asia,131,7.73,7.81,0.33,0.3,0.94,1.183,124,7.37,7.98,0.29,0.34,0.96,0.823,1
425,426,Asia,142,7.26,7.41,0.31,0.33,0.87,1.327,128,7.63,7.9,0.32,0.35,0.94,0.969,1
426,427,Asia,128,7.95,8.05,0.31,0.32,1.02,1.245,82,6.78,8.04,0.28,0.38,0.82,0.344,1
427,428,Asia,137,7.89,7.69,0.33,0.33,0.96,1.044,129,7.07,7.8,0.28,0.36,0.84,0.743,1
428,429,Asia,125,7.37,7.98,0.29,0.34,0.96,0.811,83,6.77,8.04,0.28,0.38,0.81,0.338,1
429,430,Asia,132,7.73,7.81,0.33,0.3,0.94,1.2,130,7.07,7.81,0.28,0.36,0.84,0.733,1
430,431,Asia,129,7.95,8.04,0.31,0.32,1.02,1.263,138,7.9,7.69,0.32,0.33,0.97,1.059,1
431,432,Asia,128,7.86,7.81,0.3,0.27,0.97,1.666,129,7.62,7.9,0.32,0.35,0.94,0.954,0
432,433,Asia,130,7.96,8.02,0.31,0.32,1.02,1.28,131,7.07,7.8,0.28,0.36,0.84,0.723,1
433,434,Asia,133,7.73,7.8,0.33,0.3,0.94,1.216,84,6.77,8.02,0.28,0.38,0.81,0.333,1
434,435,Asia,139,7.88,7.7,0.32,0.33,0.96,1.044,85,6.74,8.01,0.28,0.38,0.81,0.328,1
435,436,Asia,126,7.36,7.97,0.29,0.34,0.96,0.826,132,7.07,7.81,0.28,0.36,0.84,0.714,0
