,ID,Venue,T1_Mat,T1_AvgRunsScored,T1_AvgRunsConceded,T1_AvgWktsTaken,T1_AvgWktsLost,T1_AvgBound,T1_W/L,T2_Mat,T2_AvgRunsScored,T2_AvgRunsConceded,T2_AvgWktsTaken,T2_AvgWktsLost,T2_AvgBound,T2_W/L,Winner
49,50,Asia,37,6.97,7.37,0.31,0.34,0.85,1.055,36,7.26,7.92,0.28,0.35,0.92,0.8,1
50,51,Asia,45,7.26,7.33,0.32,0.32,0.87,1.647,50,7.84,7.35,0.34,0.33,0.95,1.272,0
51,52,Asia,51,6.91,7.03,0.33,0.35,0.81,1.318,34,7.53,7.86,0.28,0.3,0.92,1,0
52,53,Asia,47,7.36,7.41,0.31,0.32,0.88,1.238,38,6.99,7.34,0.31,0.34,0.86,1.111,0
53,54,Asia,51,7.84,7.35,0.34,0.33,0.95,1.318,52,6.89,7.04,0.33,0.35,0.8,1.26,0
54,55,Asia,46,7.25,7.35,0.32,0.32,0.87,1.555,35,7.52,7.82,0.29,0.3,0.92,1.058,0
55,56,Asia,53,6.9,7.01,0.33,0.35,0.8,1.304,39,7.01,7.34,0.31,0.34,0.86,1.166,0
56,57,Asia,52,7.8,7.35,0.34,0.33,0.94,1.26,37,7.23,7.93,0.28,0.34,0.91,0.761,0
57,58,Asia,40,7,7.31,0.31,0.33,0.86,1.222,38,7.29,7.92,0.29,0.34,0.93,0.809,0
58,59,Asia,39,7.27,7.85,0.29,0.34,0.92,0.857,17,6.2,8.14,0.25,0.44,0.73,0.133,1
59,60,Asia,48,7.36,7.43,0.31,0.32,0.88,1.181,36,7.51,7.81,0.3,0.3,0.92,1.117,0
60,61,Africa,47,7.25,7.35,0.31,0.32,0.87,1.473,45,6.96,7.7,0.3,0.37,0.82,0.666,1
61,62,Asia,37,7.52,7.81,0.3,0.3,0.92,1.176,49,7.36,7.45,0.31,0.32,0.88,1.13,0
62,63,Africa,48,7.25,7.29,0.32,0.32,0.88,1.526,46,6.91,7.69,0.3,0.37,0.82,0.642,0
63,64,Asia,54,6.87,7.01,0.33,0.35,0.8,1.25,38,7.53,7.83,0.29,0.3,0.92,1.111,1
64,65,Africa,49,7.28,7.31,0.31,0.32,0.88,1.45,47,6.93,7.71,0.29,0.37,0.83,0.678,1
65,66,Asia,55,6.87,7,0.33,0.35,0.8,1.291,39,7.5,7.8,0.29,0.3,0.91,1.052,0
66,67,Oceania,53,7.79,7.4,0.34,0.33,0.94,1.208,41,6.95,7.29,0.31,0.34,0.85,1.157,0
67,68,Oceania,42,6.96,7.28,0.31,0.34,0.85,1.21,54,7.77,7.4,0.34,0.33,0.93,1.16,1
68,69,Oceania,50,7.39,7.48,0.31,0.32,0.88,1.173,48,6.94,7.74,0.3,0.37,0.83,0.655,1
69,70,Oceania,51,7.45,7.49,0.31,0.32,0.9,1.217,49,6.95,7.8,0.3,0.37,0.83,0.633,0
70,71,Oceania,55,7.77,7.4,0.33,0.33,0.93,1.115,40,7.33,7.88,0.28,0.33,0.93,0.904,0
71,72,Oceania,52,7.43,7.53,0.31,0.32,0.9,1.166,50,7,7.78,0.3,0.37,0.84,0.666,1
72,73,Africa,50,7.3,7.31,0.32,0.32,0.88,1.5,56,6.9,7.04,0.32,0.35,0.81,1.24,0
73,74,Asia,43,6.97,7.29,0.31,0.33,0.85,1.263,18,6.34,8.24,0.24,0.41,0.75,0.125,1
